username,full_name,platform,total_followers,total_media_posts,account_category,boost_index,engagement_rate,engagement_rate_60d,avg_likes,avg_comments,avg_video_views,avg_1d,avg_3d,avg_7d,avg_14d,avg_30d,profile_url
theweeknd,theweeknd,Instagram,40223677,630,News & Politics,83,0.0234130289815374,0.039671213946651,1141438.6666666667,7543.174358974359,2212274.6666666665,,,,,2532971.0,https://www.instagram.com/theweeknd
ranveersingh,ranveersingh,Instagram,40112340,1738,Movies,85,0.0188163114560481,0.0075759470580558,1015087.5,3003.619942196532,1188881.3623188406,,,236391.75,237287.2,328866.9285714286,https://www.instagram.com/ranveersingh
andresiniesta8,andresiniesta8,Instagram,39745058,1977,Fashion & Beauty,85,0.0055802417292508,0.0040979608073302,250762.07142857145,715.553264604811,519624.8571428572,,68488.0,97259.25,217431.125,175277.8125,https://www.instagram.com/andresiniesta8
princessyahrini,princessyahrini,Instagram,39581466,4455,,81,0.0028611348127767,1.751415982643136e-05,118171.125,692.5880102040817,912626.4666666668,0.0,0.0,0.0,0.0,0.0,https://www.instagram.com/princessyahrini
liverpoolfc,liverpoolfc,Instagram,39515025,9953,,75,0.0074181809696207,0.004200652923037,346707.99613784906,1254.344763271162,1128585.4583333333,78430.0,104614.4,142629.4090909091,146055.65384615384,146055.65384615384,https://www.instagram.com/liverpoolfc
teddysphotos,teddysphotos,Instagram,39439449,2301,,80,0.0156541791160127,0.0070354032103839,738566.85,4255.0751565762,1715096.5942028984,,93970.0,332434.0,286783.1666666667,251330.0,https://www.instagram.com/teddysphotos
georginagio,georginagio,Instagram,39025459,726,Fashion & Beauty,74,0.0473565573230546,0.0875705825799869,2237436.0,7401.983783783784,7940965.584905661,,4551706.0,4019816.0,4022033.5,3193934.230769231,https://www.instagram.com/georginagio
natashawilona12,natashawilona12,Instagram,38846946,1143,Fashion & Beauty,84,0.0099239931006041,0.0087578811926599,489665.375,3433.455525606469,1621378.828125,102772.0,102772.0,274348.5,273239.0,218012.66666666663,https://www.instagram.com/natashawilona12
ruben_onsu,ruben_onsu,Instagram,38776943,13440,,75,0.0027383114291809,0.0013029248315222,139324.50785773367,763.7349029867015,474431.1769911504,8251.0,34620.71428571428,44411.5,52250.42424242424,52223.5652173913,https://www.instagram.com/ruben_onsu
mahi7781,mahi7781,Instagram,38747041,107,Gaming,58,0.0891126719339245,0.0017708230322919,4054863.25,67652.64,16107512.2,0.0,0.0,0.0,0.0,0.0,https://www.instagram.com/mahi7781
